address,price,squarefootage,numbed,numbath,image-src,city,state,zipcode,population,MedianAge, MedianHouseholdIncome ,UnemploymentRate,PropertyCrimeIndex,PopulationGrowthRate,BachelorDegree,airquality,TotalHousingUnits,OwnerOccupiedHUs,Latitude,Longitude,Type,id
"895 Providence Pl,","$950,000 ","3,204",5,3,https://ssl.cdn-redfin.com/photo/45/mbpaddedwide/351/genMid.PW20171351_1_3.jpg,Claremont,CA,91711,"37,295",39,"$108,246 ",13.50%,106,0.16%,"6,232",71,"12,796","7,860",34.124463,-117.730326,Homes,26
"323 E Dunbarton Pl,","$930,000 ","2,023",4,2,https://ssl.cdn-redfin.com/photo/45/bigphoto/737/CV20156737_1_1.jpg,Claremont,CA,91711,"37,295",39,"$108,246 ",13.50%,106,0.16%,"6,232",71,"12,796","7,860",34.13084,-117.709848,Homes,27
"940 Deep Springs Dr,","$2,388,000 ","5,015",5,5,https://photos.zillowstatic.com/cc_ft_960/IS337aro2v9jju1000000000.jpg,Claremont,CA,91711,"37,295",39,"$108,246 ",13.50%,106,0.16%,"6,232",71,"12,796","7,860",34.141981,-117.700328,Homes,28
"3626 Moraine Ave,","$929,000 ","2,642",4,3,https://photos.zillowstatic.com/cc_ft_960/IS7eqb7veo9cx21000000000.jpg,Claremont,CA,91711,"37,295",39,"$108,246 ",13.50%,106,0.16%,"6,232",71,"12,796","7,860",34.135178,-117.696635,Homes,29
"622 Adirondack Ln,","$2,100,000 ","5,063",5,6,https://photos.zillowstatic.com/cc_ft_960/ISnulf5zl2blr31000000000.jpg,Claremont,CA,91711,"37,295",39,"$108,246 ",13.50%,106,0.16%,"6,232",71,"12,796","7,860",34.140556,-117.706484,Homes,30
"1416 Ashland Ave,","$729,900 ","2,204",4,2,https://photos.zillowstatic.com/cc_ft_960/ISrdfa9qor7hik1000000000.jpg,Claremont,CA,91711,"37,295",39,"$108,246 ",13.50%,106,0.16%,"6,232",71,"12,796","7,860",34.109366,-117.730598,Homes,31
"901 Alamosa Dr,","$2,999,000 ","8,175",5,8,https://photos.zillowstatic.com/cc_ft_960/ISr9oie5bep6s20000000000.jpg,Claremont,CA,91711,"37,295",39,"$108,246 ",13.50%,106,0.16%,"6,232",71,"12,796","7,860",34.132999,-117.701653,Homes,32
"886 Deep Springs Dr,","$1,599,000 ","5,010",5,6,https://ssl.cdn-redfin.com/photo/45/bigphoto/908/CV20138908_2_1.jpg,Claremont,CA,91711,"37,295",39,"$108,246 ",13.50%,106,0.16%,"6,232",71,"12,796","7,860",34.141057,-117.701352,Homes,33
"467 Independence Dr,","$1,580,000 ","4,328",5,4,https://photos.zillowstatic.com/cc_ft_960/ISzzlwmwjn2gwb1000000000.jpg,Claremont,CA,91711,"37,295",39,"$108,246 ",13.50%,106,0.16%,"6,232",71,"12,796","7,860",34.135246,-117.710534,Homes,34
"179 W Monterrey Dr,","$899,000 ","2,173",3,3,https://photos.zillowstatic.com/cc_ft_960/ISbh3bn8801xcm1000000000.jpg,Claremont,CA,91711,"37,295",39,"$108,246 ",13.50%,106,0.16%,"6,232",71,"12,796","7,860",34.12326,-117.717267,Homes,35
"909 Appalachian,","$1,590,000 ","4,121",5,5,https://photos.zillowstatic.com/cc_ft_960/ISbly1cndurl610000000000.jpg,Claremont,CA,91711,"37,295",39,"$108,246 ",13.50%,106,0.16%,"6,232",71,"12,796","7,860",34.147282,-117.700959,Homes,36
"703 Via San Simon,","$1,325,000 ","2,688",4,3,https://ssl.cdn-redfin.com/photo/45/mbpaddedwide/408/genMid.CV20197408_1.jpg,Claremont,CA,91711,"37,295",39,"$108,246 ",13.50%,106,0.16%,"6,232",71,"12,796","7,860",34.134514,-117.727452,Homes,37
"1019 Fuller Dr,","$1,950,000 ",4807,6,null,https://photos.zillowstatic.com/cc_ft_960/IS7ajz1cqhbowq0000000000.jpg,Claremont,CA,91711,"37,295",39,"$108,246 ",13.50%,106,0.16%,"6,232",71,"12,796","7,860",34.14669,-117.696828,Homes,38
"1698 Mural Dr,","$749,900 ","1,732",3,2,https://photos.zillowstatic.com/cc_ft_960/ISrx26xacflr5m0000000000.jpg,Claremont,CA,91711,"37,295",39,"$108,246 ",13.50%,106,0.16%,"6,232",71,"12,796","7,860",34.11422,-117.741832,Homes,39
"744 E Miramar Ave,","$1,299,000 ","3,803",4,5,https://ssl.cdn-redfin.com/photo/58/mbpaddedwide/163/genMid.319002163_1.jpg,Claremont,CA,91711,"37,295",39,"$108,246 ",13.50%,106,0.16%,"6,232",71,"12,796","7,860",34.128464,-117.701615,Homes,40
"4000 Via Padova,","$1,248,000 ","4,716",5,6,https://photos.zillowstatic.com/cc_ft_960/ISf4opj12m8hvz0000000000.jpg,Claremont,CA,91711,"37,295",39,"$108,246 ",13.50%,106,0.16%,"6,232",71,"12,796","7,860",34.142699,-117.705036,Homes,41
"162 Saratoga Rd,","$149,000 ",960,3,1,https://photos.zillowstatic.com/cc_ft_960/ISbhn22uqifnuk0000000000.jpg,Glenville,NY,12302,"27,504",44,"$66,915 ",3.60%,30,2.99%,"3,240",37,"11,726","8,080",42.862593,-73.932415,Homes,42
"144 Horstman Dr,","$289,900 ","1,716",4,3,https://photos.zillowstatic.com/cc_ft_960/ISb1rq63s2ld8e0000000000.jpg,Glenville,NY,12302,"27,504",44,"$66,915 ",3.60%,30,2.99%,"3,240",37,"11,726","8,080",42.845639,-73.956675,Homes,43
"112 Acorn Dr,","$279,900 ","2,600",4,3,https://photos.zillowstatic.com/cc_ft_960/ISjr41nuoamjs91000000000.jpg,Glenville,NY,12302,"27,504",44,"$66,915 ",3.60%,30,2.99%,"3,240",37,"11,726","8,080",42.862801,-73.915424,Homes,44
"178 Sunnyside Rd,","$295,000 ","1,716",3,2,https://photos.zillowstatic.com/cc_ft_960/IS7mgdo8zuzty31000000000.jpg,Glenville,NY,12302,"27,504",44,"$66,915 ",3.60%,30,2.99%,"3,240",37,"11,726","8,080",42.831626,-73.936095,Homes,45
"17 Jennifer Rd,","$239,900 ","1,690",3,3,https://photos.zillowstatic.com/cc_ft_960/ISbplu09foaswh1000000000.jpg,Glenville,NY,12302,"27,504",44,"$66,915 ",3.60%,30,2.99%,"3,240",37,"11,726","8,080",42.868385,-73.939351,Homes,46
"2 Lee Rd,","$229,000 ",1394,4,2,https://photos.zillowstatic.com/cc_ft_960/ISbd8ki5db6o8j1000000000.jpg,Glenville,NY,12302,"27,504",44,"$66,915 ",3.60%,30,2.99%,"3,240",37,"11,726","8,080",42.878442,-73.930618,Homes,47
"17 Lorwood Dr,","$297,900 ","2,366",4,3,https://photos.zillowstatic.com/cc_ft_960/ISf8fd3bc399301000000000.jpg,Glenville,NY,12302,"27,504",44,"$66,915 ",3.60%,30,2.99%,"3,240",37,"11,726","8,080",42.862358,-73.945941,Homes,48
"17 Jennifer Rd,","$239,900 ","1,690",3,3,https://photos.zillowstatic.com/cc_ft_960/ISbplu09foaswh1000000000.jpg,Glenville,NY,12302,"27,504",44,"$66,915 ",3.60%,30,2.99%,"3,240",37,"11,726","8,080",42.868385,-73.939351,Homes,50
"144 Horstman Dr,","$289,900 ","1,716",4,3,https://photos.zillowstatic.com/cc_ft_960/ISb1rq63s2ld8e0000000000.jpg,Glenville,NY,12302,"27,504",44,"$66,915 ",3.60%,30,2.99%,"3,240",37,"11,726","8,080",42.845639,-73.956675,Homes,51
"1104 Ridge Rd,","$282,000 ","1,348",3,2,https://photos.zillowstatic.com/cc_ft_960/ISfw5a921lubgs1000000000.jpg,Glenville,NY,12302,"27,504",44,"$66,915 ",3.60%,30,2.99%,"3,240",37,"11,726","8,080",42.872588,-73.991057,Homes,52
"57 Virginia Blvd,","$170,000 ","1,300",3,2,https://photos.zillowstatic.com/cc_ft_960/ISzv2r2l4nyn8o1000000000.jpg,Glenville,NY,12302,"27,504",44,"$66,915 ",3.60%,30,2.99%,"3,240",37,"11,726","8,080",42.840696,-73.973501,Homes,53
"660 Sacandaga Rd,","$289,900 ","2,949",4,2,https://photos.zillowstatic.com/cc_ft_960/ISfglv37extlg91000000000.jpg,Glenville,NY,12302,"27,504",44,"$66,915 ",3.60%,30,2.99%,"3,240",37,"11,726","8,080",42.874771,-73.97845,Homes,54
"3 Eltinge Pl,","$227,700 ","1,700",4,2,https://photos.zillowstatic.com/cc_ft_960/ISv8aafjl3vwer1000000000.jpg,Glenville,NY,12302,"27,504",44,"$66,915 ",3.60%,30,2.99%,"3,240",37,"11,726","8,080",42.887426,-73.91491,Homes,55
"1508 Washout Rd,","$249,900 ","2,186",3,2,https://photos.zillowstatic.com/cc_ft_960/ISnuxge4xmgoce1000000000.jpg,Glenville,NY,12302,"27,504",44,"$66,915 ",3.60%,30,2.99%,"3,240",37,"11,726","8,080",42.888764,-74.023099,Homes,56
"19 Kile Dr #A,","$309,900 ","1,795",4,3,https://photos.zillowstatic.com/cc_ft_960/ISr5lhs72zuhhd1000000000.jpg,Glenville,NY,12302,"27,504",44,"$66,915 ",3.60%,30,2.99%,"3,240",37,"11,726","8,080",42.893989,-73.914946,Homes,57
"777 Sacandaga Rd,","$259,900 ","2,300",4,3,https://photos.zillowstatic.com/cc_ft_960/ISzvy3yywmga6m1000000000.jpg,Glenville,NY,12302,"27,504",44,"$66,915 ",3.60%,30,2.99%,"3,240",37,"11,726","8,080",42.89077,-73.979385,Homes,58
"22 Slater Dr,","$237,900 ","1,526",3,3,https://photos.zillowstatic.com/cc_ft_960/IS7mkc2mzgmubp1000000000.jpg,Glenville,NY,12302,"27,504",44,"$66,915 ",3.60%,30,2.99%,"3,240",37,"11,726","8,080",42.886242,-73.914413,Homes,59
"111 Snake Hill Rd,","$174,900 ","2,136",4,3,https://photos.zillowstatic.com/cc_ft_960/ISr1u5ypvol5ck1000000000.jpg,Glenville,NY,12302,"27,504",44,"$66,915 ",3.60%,30,2.99%,"3,240",37,"11,726","8,080",42.88216,-73.962011,Homes,60
"301 Vley Rd,","$188,000 ","1,344",3,2,https://photos.zillowstatic.com/cc_ft_960/ISr1u1j7cuhxfh0000000000.jpg,Glenville,NY,12302,"27,504",44,"$66,915 ",3.60%,30,2.99%,"3,240",37,"11,726","8,080",42.838856,-73.967029,Homes,61
"4 Boyle Rd,","$240,900 ","2,340",4,3,https://photos.zillowstatic.com/cc_ft_960/ISjvzjlntyddjj0000000000.jpg,Glenville,NY,12302,"27,504",44,"$66,915 ",3.60%,30,2.99%,"3,240",37,"11,726","8,080",42.853151,-73.970701,Homes,62
"178 Sunnyside Rd,","$295,000 ","1,716",3,2,https://photos.zillowstatic.com/cc_ft_960/IS7mgdo8zuzty31000000000.jpg,Glenville,NY,12302,"27,504",44,"$66,915 ",3.60%,30,2.99%,"3,240",37,"11,726","8,080",42.831626,-73.936095,Homes,63
"35 Woodcrest Dr,","$249,000 ","2,034",5,2,https://photos.zillowstatic.com/cc_ft_960/ISvw4exr6aowql0000000000.jpg,Glenville,NY,12302,"27,504",44,"$66,915 ",3.60%,30,2.99%,"3,240",37,"11,726","8,080",42.86554,-73.913536,Homes,64
"704 Stephens Pl,","$579,900 ","3,457",4,5,https://photos.zillowstatic.com/cc_ft_960/ISnycvqci4vsa01000000000.jpg,Guilderland,NY,12302,"27,504",34,"$69,427 ",3.20%,46,1.59%,864,37,"2,151",492,42.719333,-73.921314,Homes,65
"5000 Live Oak Canyon Rd,","$4,500,000 ","3,628",3,4,https://photos.zillowstatic.com/cc_ft_960/ISmq69vd67ekmk0000000000.jpg,La Verne,CA,12084,"4,960",42,"$76,912 ",4.40%,20,-4.35%,"5,245",37,"12,163","8,543",34.13544,-117.74791,Homes,66
"6283 S Elati St,","$799,950 ","2,744",5,3,https://ssl.cdn-redfin.com/photo/94/mbpaddedwide/129/genMid.9506129_5.jpg,Littleton,CO,80120,"30,765",44,"$74,908 ",7.20%,111,0.99%,"7,111",46,"14,480","7,584",39.602656,-104.997975,Homes,67
"6162 S Aberdeen St,","$675,000 ","2,291",3,2,https://photos.zillowstatic.com/p_e/ISnqufcmdfpv1d0000000000.jpg,Littleton,CO,80120,"30,765",44,"$74,908 ",7.20%,111,0.99%,"7,111",46,"14,480","7,584",39.603775,-104.993164,Homes,68
"5956 S Sycamore St,","$1,500,000 ","4,492",5,5,https://photos.zillowstatic.com/p_e/IS7a3rwpxwl26m0000000000.jpg,Littleton,CO,80120,"30,765",44,"$74,908 ",7.20%,111,0.99%,"7,111",46,"14,480","7,584",39.608581,-105.014853,Homes,69
"7420 S Curtice Ct,","$839,900 ","4,131",6,5,https://maps.googleapis.com/maps/api/streetview?channel=mb-pdp-publicrecord&location=7420+S+Curtice+Ct%2C+Littleton%2C+CO+80120&size=665x441&source=outdoor&client=gme-redfin&signature=k4wmwibWOl9uz8rzRyhCoDlQzDM=,Littleton,CO,80120,"30,765",44,"$74,908 ",7.20%,111,0.99%,"7,111",46,"14,480","7,584",39.582616,-105.01984,Homes,70
"6590 S Windermere St,","$442,157 ","1,601",3,2,https://photos.zillowstatic.com/p_e/ISzfqu0jr1biu61000000000.jpg,Littleton,CO,80120,"30,765",44,"$74,908 ",7.20%,111,0.99%,"7,111",46,"14,480","7,584",39.597113,-105.006729,Homes,71
"6220 S Windermere St,","$575,000 ","2,240",4,2,https://photos.zillowstatic.com/p_e/IS7av8dcp9w3jq1000000000.jpg,Littleton,CO,80120,"30,765",44,"$74,908 ",7.20%,111,0.99%,"7,111",46,"14,480","7,584",39.603751,-105.006604,Homes,72
"2889 W Long Cir APT D,","$400,000 ","1,865",4,4,https://photos.zillowstatic.com/p_e/ISrt349yiy10ur1000000000.jpg,Littleton,CO,80120,"30,765",44,"$74,908 ",7.20%,111,0.99%,"7,111",46,"14,480","7,584",39.574364,-105.024033,Homes,73
"6035 S Bannock St,","$519,500 ","2,700",3,2,https://photos.zillowstatic.com/p_e/ISne9rxxvtv2gm0000000000.jpg,Littleton,CO,80120,"30,765",44,"$74,908 ",7.20%,111,0.99%,"7,111",46,"14,480","7,584",39.606838,-104.990036,Homes,74
"1803 W Kettle Ave,","$765,000 ","4,034",5,4,https://photos.zillowstatic.com/p_e/IS3n674rhg5h5s0000000000.jpg,Littleton,CO,80120,"30,765",44,"$74,908 ",7.20%,111,0.99%,"7,111",46,"14,480","7,584",39.578772,-105.009676,Homes,75
"421 W Jamison Pl,","$554,900 ","3,360",5,4,https://ssl.cdn-redfin.com/photo/94/mbpaddedwide/887/genMid.4153887_G.jpg,Littleton,CO,80120,"30,765",44,"$74,908 ",7.20%,111,0.99%,"7,111",46,"14,480","7,584",39.57763,-104.993231,Homes,76
"519 W Ridge Rd,","$549,900 ","2,580",4,3,https://photos.zillowstatic.com/p_e/ISfw9xdk542qbn0000000000.jpg,Littleton,CO,80120,"30,765",44,"$74,908 ",7.20%,111,0.99%,"7,111",46,"14,480","7,584",39.59002,-104.993871,Homes,77
"6551 S Cedar St,","$450,000 ","1,976",5,3,https://ssl.cdn-redfin.com/photo/94/mbpaddedwide/795/genMid.2627795_0.jpg,Littleton,CO,80120,"30,765",44,"$74,908 ",7.20%,111,0.99%,"7,111",46,"14,480","7,584",39.597833,-105.00605,Homes,78
"505 Rangeview Dr,","$1,950,000 ","5,697",5,5,https://photos.zillowstatic.com/p_e/ISjvvgwuqg17q31000000000.jpg,Littleton,CO,80120,"30,765",44,"$74,908 ",7.20%,111,0.99%,"7,111",46,"14,480","7,584",39.583561,-105.010653,Homes,79
"7730 S Lakeview Ct,","$724,900 ","3,589",4,3,https://photos.zillowstatic.com/p_e/ISjv7i1h4bnz1m0000000000.jpg,Littleton,CO,80120,"30,765",44,"$74,908 ",7.20%,111,0.99%,"7,111",46,"14,480","7,584",39.578391,-104.995926,Homes,80
"1725 Graham Ln,","$2,700,000 ","9,609",7,6,https://photos.zillowstatic.com/p_e/IS3fonquxkz76h1000000000.jpg,Littleton,CO,80120,"30,765",44,"$74,908 ",7.20%,111,0.99%,"7,111",46,"14,480","7,584",39.582573,-105.012179,Homes,81
"1405 W Hinsdale Dr,","$550,000 ","3,164",4,3,https://ssl.cdn-redfin.com/photo/94/bigphoto/967/7653967_0.jpg,Littleton,CO,80120,"30,765",44,"$74,908 ",7.20%,111,0.99%,"7,111",46,"14,480","7,584",39.583116,-105.004887,Homes,82
"1479 W Ridge Rd,","$525,000 ","2,853",3,3,https://photos.zillowstatic.com/p_e/ISv0wlowdcuchg1000000000.jpg,Littleton,CO,80120,"30,765",44,"$74,908 ",7.20%,111,0.99%,"7,111",46,"14,480","7,584",39.595778,-105.005479,Homes,83
"1529 W Sterne Pkwy,","$475,000 ","1,944",4,3,https://photos.zillowstatic.com/p_e/ISjndt34205q100000000000.jpg,Littleton,CO,80120,"30,765",44,"$74,908 ",7.20%,111,0.99%,"7,111",46,"14,480","7,584",39.602846,-105.00613,Homes,84
"7074 S Costilla St,","$625,000 ","2,368",5,3,https://photos.zillowstatic.com/p_e/IS76k5o0rtx6di0000000000.jpg,Littleton,CO,80120,"30,765",44,"$74,908 ",7.20%,111,0.99%,"7,111",46,"14,480","7,584",39.590539,-105.020603,Homes,85
"5828 S Louthan St,","$750,000 ","3,352",4,3,https://ssl.cdn-redfin.com/photo/94/mbpaddedwide/059/genMid.5978059_1.jpg,Littleton,CO,80120,"30,765",44,"$74,908 ",7.20%,111,0.99%,"7,111",46,"14,480","7,584",39.610663,-105.007725,Homes,86
"5613 S Datura St,","$850,500 ","2,740",4,5,https://ssl.cdn-redfin.com/photo/94/mbpaddedwide/136/genMid.4866136_4.jpg,Littleton,CO,80120,"30,765",44,"$74,908 ",7.20%,111,0.99%,"7,111",46,"14,480","7,584",39.614769,-105.004605,Homes,87
"1643 W Kettle Ave,","$764,000 ","3,765",5,4,https://ssl.cdn-redfin.com/photo/94/mbpaddedwide/732/genMid.3458732_3.jpg,Littleton,CO,80120,"30,765",44,"$74,908 ",7.20%,111,0.99%,"7,111",46,"14,480","7,584",39.578936,-105.007898,Homes,88
"2494 W Peakview Ct,","$889,000 ","4,465",4,5,https://photos.zillowstatic.com/p_e/ISjzmsqg4dhi911000000000.jpg,Littleton,CO,80120,"30,765",44,"$74,908 ",7.20%,111,0.99%,"7,111",46,"14,480","7,584",39.59918,-105.019388,Homes,89
"531 E Nichols Dr,","$509,550 ","2,514",3,4,https://photos.zillowstatic.com/p_e/IS3n674rhg5h5s0000000000.jpg,Littleton,CO,80122,"31,628",47,"$102,769 ",6.90%,33,0.87%,"8,705",46,"13,179","10,413",39.569869,-104.982703,Homes,90
"7985 S Logan Dr,","$555,000 ","2,993",5,4,https://ssl.cdn-redfin.com/photo/94/mbpaddedwide/614/genMid.2103614_2.jpg,Littleton,CO,80122,"31,628",47,"$102,769 ",6.90%,33,0.87%,"8,705",46,"13,179","10,413",39.571084,-104.98361,Homes,91
"546 E Hinsdale Ave,","$510,000 ","1,722",2,3,https://ssl.cdn-redfin.com/photo/94/mbpaddedwide/301/genMid.5051301_I.jpg,Littleton,CO,80122,"31,628",47,"$102,769 ",6.90%,33,0.87%,"8,705",46,"13,179","10,413",39.582298,-104.982365,Homes,92
"5028 W Maplewood Ave,","$800,000 ","3,536",4,4,https://ssl.cdn-redfin.com/photo/94/mbpaddedwide/523/genMid.2065523_0.jpg,Littleton,CO,80123,"48,401",42,"$86,094 ",6.40%,61,0.67%,"10,677",46,"20,552","13,924",39.605382,-105.051054,Homes,93
"5770 S Julian St,","$450,000 ","2,080",4,2,https://photos.zillowstatic.com/p_e/ISjzarl2xec8zb0000000000.jpg,Littleton,CO,80123,"48,401",42,"$86,094 ",6.40%,61,0.67%,"10,677",46,"20,552","13,924",39.613782,-105.030234,Homes,94
"5028 S Michigan Ct,","$455,000 ","1,616",3,2,https://photos.zillowstatic.com/p_e/ISjb8hd3imajue1000000000.jpg,Littleton,CO,80123,"48,401",42,"$86,094 ",6.40%,61,0.67%,"10,677",46,"20,552","13,924",39.625925,-105.037186,Homes,95
"5112 S Osceola St,","$450,000 ","2,240",4,3,https://ssl.cdn-redfin.com/photo/94/mbpaddedwide/256/genMid.4261256_3.jpg,Littleton,CO,80123,"48,401",42,"$86,094 ",6.40%,61,0.67%,"10,677",46,"20,552","13,924",39.626187,-105.041638,Homes,96
